timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-12-31,300,761.0,0.0,12.7,61.5,5.4,69.1,88.1,2.7
2023-01-01,400,1001.4,0.2,15.8,46.3,4.8,88.2,115.4,3.6
2023-01-02,400,2336.5,0.2,38.0,22.5,12.0,193.2,255.4,13.8
2023-01-03,400,2309.8,0.4,37.9,36.5,19.8,206.6,268.6,26.5
2023-01-04,400,2523.4,0.1,35.8,62.6,13.0,229.8,304.2,26.8
2023-01-05,400,3177.6,0.0,46.1,54.7,23.2,278.4,370.2,40.0
2023-01-06,400,2857.2,0.0,46.6,47.4,19.0,233.5,316.5,42.0
2023-01-07,400,2149.6,0.0,36.2,49.4,18.0,152.0,210.6,36.8
2023-01-08,400,2550.2,0.0,34.1,36.8,14.4,188.8,262.6,28.8
2023-01-09,400,3137.6,0.0,38.7,34.5,17.8,254.2,330.7,31.9
2023-01-10,400,4352.6,0.8,56.9,22.2,14.6,333.0,449.8,27.6
2023-01-11,400,4005.4,0.0,53.4,37.9,15.6,403.1,468.6,33.2
2023-01-12,400,3498.1,0.1,47.0,31.2,13.6,307.2,403.6,29.0
2023-01-13,400,1769.0,0.2,26.6,33.0,7.0,123.0,192.4,19.5
2023-01-14,400,1582.2,0.0,26.4,56.5,6.3,117.0,172.9,20.9
2023-01-15,400,2737.0,0.6,39.1,27.4,16.8,225.4,307.1,41.8
2023-01-16,400,4219.1,4.4,58.3,6.2,16.8,350.4,440.8,34.0
2023-01-17,400,3231.0,1.0,47.2,17.0,13.5,238.8,335.5,25.6
2023-01-18,400,2857.2,0.8,43.6,19.1,11.2,225.8,299.4,26.6
2023-01-19,400,2283.1,0.1,34.8,27.9,10.0,216.4,291.8,13.8
2023-01-20,400,2843.9,5.6,38.8,14.5,10.8,231.2,308.0,20.4
2023-01-21,400,1829.2,0.2,23.3,32.5,6.6,125.6,187.0,19.8
2023-01-22,400,1448.6,0.0,19.0,59.7,5.6,101.0,154.9,15.0
2023-01-23,400,2483.4,0.4,35.4,30.6,12.8,165.0,248.2,32.6
2023-01-24,400,1548.8,0.0,22.6,41.3,5.9,104.0,160.4,14.8
2023-01-25,400,1722.4,0.4,23.4,42.6,5.9,121.2,180.3,14.4
2023-01-26,400,1882.6,2.0,27.4,9.4,7.8,122.6,183.6,17.0
2023-01-27,400,2283.1,1.4,28.0,30.0,11.1,151.9,227.4,24.3
2023-01-28,400,2456.7,0.6,39.8,22.4,13.9,197.0,256.5,32.0
2023-01-29,400,2590.2,0.2,37.8,35.0,10.1,209.8,280.0,18.5
2023-01-30,400,3578.2,0.3,47.3,42.8,14.9,294.0,383.6,30.4
2023-01-31,400,2723.7,0.2,32.8,25.2,8.7,205.6,270.2,21.6
2023-02-01,400,1749.0,0.2,26.9,38.8,8.6,119.0,187.2,25.4
2023-02-02,400,3110.8,3.2,51.1,15.3,18.4,243.2,328.9,43.4
2023-02-03,400,1989.4,0.0,30.3,74.7,17.3,213.0,259.5,17.0
2023-02-04,400,1435.2,0.1,20.0,66.2,5.7,187.8,217.6,8.2
2023-02-05,400,1161.6,0.1,13.6,76.2,6.4,146.4,174.5,9.2
2023-02-06,400,1008.0,0.0,11.5,88.7,5.9,116.4,132.6,6.2
2023-02-07,400,1608.8,0.2,28.4,41.0,6.6,128.2,168.2,8.8
2023-02-08,400,1154.9,0.2,18.2,86.6,6.9,125.8,155.8,8.8
2023-02-09,400,1108.2,0.0,18.0,92.2,7.8,143.8,168.4,7.0
2023-02-10,400,1548.8,0.1,24.8,54.2,6.2,157.4,219.2,10.4
2023-02-11,400,1141.6,0.1,16.8,55.4,5.3,96.4,146.4,12.7
2023-02-12,400,948.0,0.1,16.3,81.5,4.6,97.1,127.8,10.0
2023-02-13,400,2470.0,0.6,45.9,29.3,14.6,224.2,294.5,20.8
2023-02-14,400,2897.2,0.2,50.8,30.8,13.2,275.8,383.1,19.9
2023-02-15,400,1936.0,0.1,25.2,45.8,11.0,202.5,258.0,16.0
2023-02-16,400,731.0,0.0,8.3,114.4,7.8,79.1,95.0,9.6
2023-02-17,400,1582.2,0.0,22.9,61.2,9.0,141.4,188.5,18.8
2023-02-18,400,1295.1,0.0,19.0,58.6,5.1,95.8,138.4,16.5
2023-02-19,400,861.2,0.0,12.5,73.6,6.1,84.6,110.2,11.6
2023-02-20,400,744.3,0.0,8.8,100.2,5.5,92.7,107.7,6.9
2023-02-21,400,1154.9,0.0,16.4,60.4,6.2,121.0,154.0,9.5
2023-02-22,400,757.7,0.0,7.4,106.6,6.3,69.8,89.5,6.8
2023-02-23,400,1735.7,0.0,30.2,48.6,17.2,148.1,206.2,61.3
2023-02-25,400,1068.1,0.0,10.4,120.2,6.4,157.8,176.9,6.5
2023-02-26,400,1689.0,0.0,23.6,66.9,7.5,123.3,164.4,6.2
2023-02-27,400,1081.4,0.1,14.4,98.4,7.6,78.6,101.4,7.8
2023-02-28,400,894.5,0.0,13.0,92.2,10.4,71.3,99.0,12.6
2023-03-01,400,2389.9,0.1,40.8,40.0,8.1,174.0,244.0,34.2
2023-03-02,400,2590.2,0.1,45.2,33.3,11.0,183.4,251.2,25.5
2023-03-03,400,1208.3,0.0,16.8,83.7,7.6,99.4,125.8,7.4
2023-03-04,400,1949.3,0.1,25.0,11.6,2.5,178.6,222.9,6.1
2023-03-05,400,1188.3,0.1,17.5,49.4,4.7,73.7,107.0,16.1
2023-03-06,400,1301.8,0.1,21.8,50.4,5.0,88.6,130.8,19.8
2023-03-07,400,667.6,0.0,7.2,97.3,6.1,60.0,71.5,10.0
2023-03-08,400,1468.6,0.1,24.6,53.6,7.4,82.0,123.3,13.0
2023-03-09,400,2403.2,0.2,41.0,29.2,11.4,150.9,208.7,21.5
2023-03-10,400,2603.6,0.3,47.7,29.7,10.0,192.3,241.8,30.9
2023-03-11,400,2309.8,0.0,32.0,40.0,7.6,159.2,205.7,23.2
2023-03-12,400,1154.8,0.2,22.8,58.3,4.9,59.8,94.1,21.0
2023-03-13,400,2016.0,0.2,30.0,30.4,11.0,143.3,191.4,28.8
2023-03-14,400,968.0,0.2,16.8,59.4,9.0,52.0,72.6,7.0
2023-03-15,400,2389.9,1.8,39.2,16.0,8.1,153.0,213.0,30.0
2023-03-16,400,2189.6,0.2,32.8,20.4,5.6,147.0,200.4,19.3
2023-03-17,400,884.6,0.0,11.9,71.2,6.0,37.2,58.2,12.4
2023-03-18,400,1041.4,0.0,14.3,70.1,7.7,36.2,46.9,7.3
2023-03-19,400,1522.0,0.0,23.0,42.8,5.6,67.8,87.4,5.2
2023-03-20,400,861.2,0.0,12.0,58.0,8.3,20.2,26.4,4.4
2023-03-21,400,767.7,0.2,10.2,59.7,4.9,17.8,22.2,3.8
2023-03-22,400,1034.8,0.2,12.4,53.0,4.5,35.6,60.5,9.6
2023-03-23,400,981.3,0.2,11.3,60.4,5.2,50.4,65.1,7.7
2023-03-24,400,1822.4,0.4,28.8,45.4,5.9,102.8,161.8,10.8
2023-03-25,400,1855.8,0.4,32.9,23.4,4.8,113.0,159.0,18.3
2023-03-26,400,1028.0,0.1,15.5,66.2,4.8,56.2,89.4,18.6
2023-03-27,400,1175.0,0.2,19.4,58.3,6.8,63.1,108.1,21.4
2023-03-28,400,1655.6,0.2,28.0,52.4,8.1,104.2,152.6,26.4
2023-03-29,400,1615.6,0.1,30.0,52.4,9.0,103.2,153.1,29.0
2023-03-30,400,1949.3,0.6,35.4,25.6,7.1,126.8,181.0,25.1
2023-03-31,400,1021.4,0.1,15.1,36.5,9.8,72.2,90.0,7.8
2023-04-01,400,1255.0,0.2,18.8,26.6,6.7,77.0,102.4,7.2
2023-04-02,400,1381.9,0.2,20.8,37.2,3.6,67.8,101.2,5.2
2023-04-03,400,1335.1,0.2,22.0,33.6,6.6,68.3,105.3,8.8
2023-04-04,400,804.4,0.1,11.3,75.4,5.0,39.4,56.0,8.8
2023-04-05,400,1008.0,0.2,18.2,59.4,6.7,53.8,88.2,15.6
2023-04-06,400,938.0,0.1,18.5,66.5,7.0,49.8,82.4,15.9
2023-04-07,400,777.8,0.0,11.2,105.9,6.5,55.6,79.6,11.8
2023-04-08,400,724.3,0.0,11.1,69.8,4.0,46.0,70.4,11.9
2023-04-09,400,811.1,0.1,13.8,56.2,4.0,47.4,71.6,12.3
2023-04-10,400,1041.4,0.1,19.2,61.9,7.0,60.8,90.3,15.6
2023-04-11,400,1341.8,0.1,25.5,78.6,8.6,91.1,130.0,20.2
2023-04-12,400,1048.1,0.1,16.4,96.6,6.0,70.4,100.2,15.8
2023-04-13,400,1235.0,0.1,19.8,93.6,5.8,81.4,115.8,15.7
2023-04-14,400,1064.8,0.0,17.3,87.6,5.0,66.2,99.2,13.9
2023-04-15,400,560.8,0.0,4.6,92.9,3.0,46.2,66.4,7.8
2023-04-16,400,921.2,0.0,16.4,65.8,4.8,60.9,95.8,17.8
2023-04-17,400,894.6,0.1,13.6,87.9,5.6,58.6,93.4,14.8
